station,n_departures,avg_daily_departures,n_arrivals,avg_daily_arrivals,departure_arrival_ratio,n_destinations,n_origins,mean_duration,median_duration,std_duration,weekend_ratio,morning_rush_ratio,evening_rush_ratio,night_ratio
200119,9395,25.73972602739726,9022,24.785714285714285,1.0413433828419418,569,577,973396.12368281,696435.0,3768028.4865504378,0.2633315593400745,0.23640234167110166,0.20361894624800425,0.019159127195316657
995,27539,75.6565934065934,29415,80.81043956043956,0.9362230154682984,800,797,1823644.2484839682,1014028.0,31372589.067818742,0.2703801880968808,0.04470024329133229,0.38036965757652785,0.015977341225171575
989,10517,28.892857142857142,8522,23.412087912087912,1.2340999765313307,536,533,1698845.9885899022,604575.0,63582758.35470689,0.2282970428829514,0.336027384235048,0.16440049443757726,0.038318912237330034
200232,5555,15.219178082191782,5576,15.31868131868132,0.9962338593974175,264,306,1547686.405580558,359158.0,21590634.72503421,0.293969396939694,0.3308730873087309,0.18343834383438343,0.040864086408640865
3484,8342,22.980716253443525,8524,23.482093663911847,0.9786485218207415,676,680,1131133.8162311197,903408.0,5657109.749695504,0.14972428674178853,0.013186286262287222,0.4275953008870774,0.009949652361543994
200256,12752,34.93698630136986,11752,32.285714285714285,1.0850918992511913,563,562,1035622.9774153074,788831.5,3391659.812240468,0.27242785445420326,0.2431775407779172,0.20294855708908408,0.04077791718946048
1001,8092,22.23076923076923,7357,20.21153846153846,1.0999048525214081,521,514,1316301.8858131487,639256.5,14541081.195175324,0.25210084033613445,0.2884330202669303,0.16930301532377656,0.023603559070687098
3502,8295,22.726027397260275,7761,21.263013698630136,1.0688055662930034,502,506,856127.6718505124,567451.0,4280540.666875583,0.2603978300180832,0.2958408679927667,0.18975286317058468,0.016515973477998793
998,11027,30.293956043956044,10660,29.285714285714285,1.0344277673545965,571,598,831158.53559445,564370.0,10117504.525133125,0.23895891901695837,0.3546748889090414,0.17457150630271154,0.0098848281490886
200250,19618,53.74794520547945,19118,52.52197802197802,1.0261533633225233,513,573,1445600.7507391172,558179.0,76578404.28473014,0.24859822611887042,0.19242532368233256,0.23437659292486493,0.0324701804465287
200125,6162,16.975206611570247,6152,17.041551246537395,1.0016254876462938,423,455,2310091.1079195067,679072.5,53589186.1640009,0.2732878935410581,0.1679649464459591,0.28107757221681273,0.03343070431678027
1013,7201,19.782967032967033,7422,20.39010989010989,0.9702236593909997,638,641,1625420.0456880988,880311.0,14217663.833684288,0.21899736147757257,0.2532981530343008,0.1665046521316484,0.07818358561310929
1117,9528,26.175824175824175,9598,26.36813186813187,0.9927068139195666,618,631,1053442.4439546599,612339.5,13635746.852958184,0.23939966414777497,0.21683459277917716,0.22670025188916876,0.04429051217464316
200101,15100,41.48351648351648,16546,45.456043956043956,0.9126072766831863,754,751,1653117.1694039735,860619.0,27612624.66952769,0.20430463576158941,0.09264900662251656,0.4118543046357616,0.01933774834437086
300239,6184,16.98901098901099,5772,15.857142857142858,1.0713790713790714,517,530,1052677.0085705046,775399.5,5105668.894170751,0.24838292367399742,0.41235446313065977,0.1775549805950841,0.01633247089262613
300248,12497,34.23835616438356,12734,34.98351648351648,0.9813884089838228,648,720,1963244.7496999279,907841.0,50142919.23488082,0.31727614627510603,0.2638233175962231,0.1990877810674562,0.0168040329679123
1007,21175,58.013698630136986,22345,61.387362637362635,0.9476392929066906,768,773,1171080.7584887838,826021.0,7865188.940535959,0.24203069657615112,0.07315230224321133,0.32632821723730815,0.02715466351829988
1138,14110,38.76373626373626,15876,43.61538461538461,0.8887629125724363,720,754,1397529.9142452162,939413.5,11055950.302786462,0.2172218284904323,0.2076541459957477,0.2747696669029057,0.03933380581148122
300001,8909,24.542699724517906,8790,24.14835164835165,1.01353811149033,492,481,1068305.5321584914,715147.0,8120176.056361526,0.22527780895723426,0.36805477606914355,0.15815467504770456,0.013357279155909754
2692,22640,62.1978021978022,15827,43.72099447513812,1.43046692361155,727,672,1468673.1017226148,736513.0,31878849.88901534,0.10295936395759717,0.5115282685512368,0.0993374558303887,0.01333922261484099
992,7291,20.03021978021978,6739,18.616022099447513,1.081911262798635,561,534,1155457.003428885,697469.0,21621319.39513412,0.19380057605266768,0.3109312851460705,0.20902482512686874,0.016870113838979565
1010,11507,31.61263736263736,10612,29.073972602739726,1.0843384847342632,647,621,1222309.1593812462,650170.0,20084163.656005114,0.22638394021030678,0.218301903189363,0.22907795255062136,0.03145911184496394
300004,8184,22.483516483516482,8002,21.923287671232877,1.0227443139215195,502,549,1195230.042521994,846980.0,10935831.71528441,0.2619745845552297,0.3444525904203324,0.1823069403714565,0.01735092864125122
200238,12634,34.70879120879121,13678,37.47397260273973,0.9236730516157333,533,565,1354116.421323413,856337.5,11440716.39036589,0.27892987177457657,0.19977837581130284,0.24402406205477284,0.027465569099255977
200018,4589,12.641873278236915,4910,13.489010989010989,0.9346232179226069,296,323,1261792.5090433646,768018.0,3941310.266097329,0.3081281324907387,0.33166267160601437,0.1643059490084986,0.013074743952930921
200128,28249,77.3945205479452,36538,100.1041095890411,0.7731402922984291,794,799,1124042.0773832703,810036.0,6642010.606929012,0.12885411872986655,0.09002088569506886,0.4763354455024957,0.01200042479379801
1016,10381,28.676795580110497,9505,26.256906077348066,1.0921620199894793,586,561,1787566.5155572682,931684.0,41560429.23628911,0.2588382622098064,0.31596185338599364,0.19169636836528273,0.011848569501974762
200012,17521,48.0027397260274,17418,47.85164835164835,1.0059134228958548,534,558,1338079.1794988872,595781.0,46539860.89088856,0.2473603104845614,0.17858569716340392,0.2244734889561098,0.05285086467667371
200025444,7034,75.63440860215054,7108,76.43010752688173,0.9895891952729319,504,514,6310093.864230879,947781.5,294399938.8761397,0.3193062268979244,0.20088143303952233,0.21851009382996872,0.037105487631504126
300025,7125,19.574175824175825,7262,19.95054945054945,0.9811346736436244,615,592,1814739.416982456,845741.0,39830129.84822666,0.18652631578947368,0.10217543859649122,0.3625263157894737,0.024
200009,2394,6.705882352941177,2993,8.245179063360881,0.7998663548279319,223,279,12378999.301169591,826591.0,303517285.97366947,0.33500417710944025,0.24979114452798662,0.2502088554720134,0.02046783625730994
1046,5736,15.758241758241759,5729,15.739010989010989,1.001221853726654,600,594,2182862.4487447697,881086.0,43793130.12236257,0.25592747559274753,0.26220362622036264,0.20240585774058578,0.03277545327754533
200006,8592,23.604395604395606,8470,23.26923076923077,1.0144037780401416,368,402,1070465.794227188,722081.5,10553027.832363931,0.27537243947858475,0.29713687150837986,0.200768156424581,0.028864059590316574
200015,2647,7.352777777777778,1970,5.549295774647887,1.3436548223350253,364,327,1199090.305629014,807558.0,2305901.2520618266,0.2720060445787684,0.29051756705704573,0.17869285984132982,0.010578012844729883
300010,9501,26.391666666666666,9088,25.244444444444444,1.0454445422535212,548,557,1306810.5419429534,706668.0,25955177.064350348,0.24292179770550468,0.3467003473318598,0.17608672771287234,0.02841806125670982
1037,15835,43.502747252747255,15895,43.54794520547945,0.996225228059138,675,697,3647581.337417114,1435811.0,70615444.94451247,0.37455004736343545,0.04426902431323019,0.28405431007262394,0.019703189137985477
1043,15056,41.362637362637365,14806,40.675824175824175,1.0168850466027286,697,643,893709.3170164719,665313.5,2261517.172967973,0.09398246546227418,0.11782678002125399,0.4685175345377258,0.010626992561105207
200149,10987,30.101369863013698,10167,27.931318681318682,1.080653093341202,480,503,1013923.883589697,566323.0,9762992.213035401,0.2633111859470283,0.2203513242923455,0.19159006098115955,0.03777191225994357
200146,3567,9.79945054945055,3634,9.983516483516484,0.9815630159603742,324,373,1326863.6380712083,1197060.0,2144136.943934729,0.27950658816933,0.2335295766750771,0.15475189234650968,0.0641996075133165
1028,19554,53.57260273972603,20436,56.142857142857146,0.9568408690546095,791,783,2096072.0018410555,912699.0,96490833.1101941,0.21627288534315228,0.12754423647335583,0.2630663802802496,0.046946916231972995
200027,9216,25.318681318681318,8991,24.632876712328766,1.025025025025025,441,426,1126796.7261284722,728064.0,11342921.861671075,0.2581380208333333,0.3142361111111111,0.19618055555555555,0.026150173611111112
200143,3964,10.920110192837466,4079,11.206043956043956,0.9718068153959304,284,337,4334630.893541877,591384.0,128956968.17430349,0.35721493440968716,0.25025227043390513,0.19122098890010092,0.035317860746720484
1025,11950,32.82967032967033,11908,32.714285714285715,1.0035270406449446,674,667,1307963.8140585774,684402.0,16686543.680670867,0.21849372384937238,0.16527196652719664,0.2794979079497908,0.015899581589958158
300040,10835,29.930939226519335,10947,29.991780821917807,0.9897688864529095,560,533,1351613.9089063222,784152.0,18113607.274630584,0.2633133364097831,0.2999538532533456,0.19197046608214122,0.03433317951084448
200003,8319,22.791780821917808,7526,20.61917808219178,1.1053680574010099,473,443,1215966.4789037143,573079.0,23961348.909067884,0.23861040990503665,0.3203510037264094,0.15097968505830028,0.025243418680129824
300013,10083,27.70054945054945,9856,27.076923076923077,1.023031655844156,568,577,1047056.1102846375,831818.0,4600350.085934446,0.23713180601011605,0.37280571258554,0.15570762669840324,0.04145591589804622
300022,2784,7.648351648351649,2969,8.270194986072424,0.9376894577298753,335,342,2257474.112428161,746115.0,42211125.3580592,0.17852011494252873,0.10165229885057471,0.38685344827586204,0.008979885057471264
200158,7674,21.082417582417584,6659,18.293956043956044,1.152425289082445,475,473,994329.7332551472,662791.5,8693103.456358703,0.24941360437842064,0.33307271305707586,0.1765702371644514,0.02762574928329424
300031,24410,66.87671232876713,23679,64.87397260273973,1.03087123611639,741,742,1263745.2955755838,859315.5,15747638.822948419,0.2936501433838591,0.20032773453502664,0.21442031954117166,0.03506759524784924
1031,19038,52.3021978021978,18876,51.857142857142854,1.008582326764145,595,625,796341.62564345,553527.0,4583596.709707064,0.2492908919004097,0.2231852085303078,0.2733480407605841,0.009297195083517177
1150,17242,47.36813186813187,15599,42.854395604395606,1.1053272645682415,680,662,2602325.199628813,821499.5,92636214.17031509,0.2988632409233268,0.2214360283029811,0.19846885512121565,0.0367706762556548
