station_number,latitude,longitude,station_name
1156,51.523673,-0.128377,"Bedford Way, Bloomsbury"
1138,51.492369,-0.147478,"Elizabeth Bridge, Victoria"
3493,51.50923,-0.151289,"South Audley Street, Mayfair"
3496,51.518268,-0.171103,"St Mary's Hospital, Paddington"
1135,51.484839,-0.138089,"Claverton Street, Pimlico"
1206,51.498884,-0.165471,"Montpelier Street, Knightsbridge"
1214,51.498157,-0.209494,"Kensington Olympia Station, Olympia"
1195,51.488226,-0.135635,"St. George's Square, Pimlico"
1216,51.500296,-0.092762,"Swan Street, The Borough"
200069,51.493631,-0.190603,"Knaresborough Place, Earl's Court"
3498,51.496127,-0.106,"Geraldine Street, Elephant & Castle"
1213,51.502279,-0.074189,"Curlew Street, Shad Thames"
1196,51.493985,-0.136928,"Vincent Square, Westminster"
1217,51.505014,-0.17306,"Serpentine Car Park, Hyde Park"
3492,51.466907,-0.216573,"Putney Pier, Wandsworth"
1132,51.502953,-0.158456,"Albert Gate, Hyde Park"
3497,51.518162,-0.135025,"Rathbone Street, Fitzrovia"
1157,51.509908,-0.187842,"Black Lion Gate, Kensington Gardens"
1189,51.499075,-0.085666,"Long Lane , Bermondsey"
1192,51.509631,-0.119047,"Embankment (Savoy), Strand"
1205,51.490867,-0.116911,"Black Prince Road, Vauxhall"
3494,51.519181,-0.140485,"Foley Street, Fitzrovia"
1130,51.530889,-0.17677,"Grove End Road, St. John's Wood"
3495,51.517344,-0.138072,"Wells Street, Fitzrovia"
3485,51.500889,-0.083159,"Tyers Gate, Bermondsey"
1199,51.525367,-0.153463,"The Tennis Courts, The Regent's Park"
968,51.497998,-0.14296,"Warwick Row, Westminster"
1208,51.496791,-0.093913,"Dickens Square, Borough"
1197,51.510048,-0.138846,"Sackville Street, Mayfair"
3500,51.527025,-0.088542,"Baldwin Street, St. Luke's"
1148,51.493573,-0.139956,"Queen Mother Sports Centre, Victoria"
2637,51.497855,-0.081608,"Bermondsey Street, Bermondsey"
3502,51.526293,-0.073955,"Palissy Street, Shoreditch"
3501,51.523196,-0.083067,"Clifton Street, Shoreditch"
1200,51.49652,-0.101384,"Ontario Street, Elephant & Castle"
1131,51.532661,-0.099981,"Graham Street, Angel"
1128,51.522168,-0.192814,"Westbourne Green, Westbourne"
2641,51.53114,-0.086016,"New North Road 2, Hoxton"
2636,51.535892,-0.160854,"Prince Albert Road, The Regent's Park"
1203,51.516417,-0.179135,"Eastbourne Mews, Paddington"
1211,51.520858,-0.089887,"Bunhill Row, Moorgate"
1210,51.493343,-0.194757,"Nevern Place, Earl's Court"
2633,51.508605,-0.193764,"Palace Gardens Terrace, Notting Hill"
2635,51.542891,-0.132253,"Agar Grove, Camden Town"
1207,51.511968,-0.120718,"Tavistock Street, Covent Garden"
1212,51.504841,-0.115153,"Concert Hall Approach, South Bank"
2589,51.511084,-0.197524,"Pembridge Villas, Notting Hill"
1202,51.511756,-0.119643,"Wellington Street , Strand"
1201,51.514441,-0.087587,"Bank of England Museum, Bank"
1160,51.508103,-0.126021,"Craven Street, Strand"
1222,51.528246,-0.101026,"Goswell Road (City Uni), Finsbury"
1218,51.488023,-0.166878,"Flood Street, Chelsea"
10627,51.51217,-0.150481,"Grosvenor Square, Mayfair"
1221,51.51196,-0.142783,"St. George Street, Mayfair"
1231,51.501715,-0.179854,"Queen's Gate, Kensington Gardens"
1226,51.529423,-0.097122,"Macclesfield Rd, St Lukes"
1224,51.486965,-0.116625,"Vauxhall Street, Vauxhall"
10623,51.494591,-0.134234,"Greycoat Street , Westminster"
1097,51.506767,-0.123702,"Northumberland Avenue, Strand"
2694,51.461388,-0.139221,"Clapham Common Station, Clapham Common"
2685,51.494412,-0.173881,"South Kensington Station, South Kensington"
2691,51.520994,-0.139016,"Howland Street, Fitzrovia"
1229,51.516398,-0.124257,"High Holborn , Covent Garden"
2662,51.497829,-0.13544,"Butler Place, Westminster"
2666,51.496753,-0.138733,"Howick Place, Westminster"
2692,51.503919,-0.113426,"Waterloo Station 2, Waterloo"
2686,51.536264,-0.133952,"Royal College Street, Camden Town"
2665,51.529121,-0.171185,"Lord's, St. John's Wood"
3507,51.519572,-0.13214,"Store Street, Bloomsbury"
2690,51.530344,-0.100168,"City Road, Angel"
1230,51.510919,-0.151126,"Millennium Hotel, Mayfair"
2680,51.517372,-0.164207,"Harrowby Street, Marylebone"
2681,51.50058,-0.158837,"Lowndes Square, Knightsbridge"
2670,51.520205,-0.174593,"Paddington Green, Paddington"
2639,51.453118,-0.104955,"Brockwell Lido, Brixton"
2649,51.515208,-0.117863,"Sardinia Street, Holborn"
3499,51.499806,-0.176415,"Prince Consort Road, Knightsbridge"
2696,51.504027,-0.113864,"Waterloo Station 1, Waterloo"
10632,51.501945,-0.194392,"Kensington Town Hall, Kensington"
2683,51.491884,-0.125674,"Millbank Tower, Pimlico"
2648,51.505354,-0.113656,"Waterloo Bridge, South Bank"
2677,51.495592,-0.179077,"Natural History Museum, South Kensington"
2682,51.514311,-0.200838,"Turquoise Island, Notting Hill"
3506,51.506864,-0.150666,"Stanhope Gate, Mayfair"
2669,51.51953,-0.135777,"Charlotte Street, Fitzrovia"
2678,51.509351,-0.147449,"Farm Street, Mayfair"
2660,51.513103,-0.131213,"Frith Street, Soho"
3505,51.496481,-0.192404,"Marloes Road, Kensington"
3504,51.513527,-0.13011,"Moor Street, Soho"
2703,51.493699,-0.121394,"Fire Brigade Pier, Vauxhall"
1228,51.510701,-0.121723,"Southampton Street, Strand"
10621,51.51013,-0.155757,"Upper Grosvenor Street, Mayfair"
1223,51.521776,-0.068856,"Buxton Street 1, Shoreditch"
2688,51.510662,-0.142345,"Clifford Street, Mayfair"
1220,51.499428,-0.179702,"Imperial College, Knightsbridge"
2699,51.517334,-0.103604,"Snow Hill, Farringdon"
2698,51.524826,-0.176268,"Aberdeen Place, St. John's Wood"
2695,51.492462,-0.159919,"Cadogan Gardens, Chelsea"
2693,51.51809,-0.163609,"Shouldham Street, Marylebone"
1227,51.51348,-0.17977,"Devonshire Terrace, Bayswater"
10631,51.502319,-0.200742,"Holland Park, Kensington"
2687,51.522617,-0.071653,"Brick Lane Market, Shoreditch"
1225,51.517703,-0.154106,"George Street, Marylebone"
2701,51.528187,-0.075375,"Columbia Road, Shoreditch"
10625,51.522892,-0.171681,"Penfold Street, Marylebone"
10630,51.516892,-0.158249,"George Place Mews, Marylebone"
1110,51.502042,-0.1844,"Palace Gate, Kensington Gardens"
1107,51.494185,-0.18267,"Gloucester Road Station, South Kensington"
1129,51.520009,-0.083935,"Sun Street, Liverpool Street"
10624,51.493146,-0.099828,"Strata, Elephant & Castle"
1058,51.510212,0.004979,"Orchard Place, Blackwall Tunnel"
10629,51.499169,-0.055846,"Rotherhithe Roundabout, Rotherhithe"
10628,51.488105,-0.110121,"Cleaver Street, Kennington"
22160,51.485821,-0.149004,"Chelsea Bridge, Pimlico"
22164,51.494561,-0.153933,"Eaton Square (South), Belgravia"
22159,51.490491,-0.149186,"Ebury Bridge, Pimlico"
22161,51.493072,-0.129925,"Vincent Street, Pimlico"
22180,51.51397,-0.09294,"Cheapside, Bank"
22179,51.499917,-0.174554,"Exhibition Road, Knightsbridge"
22182,51.48902,-0.17524,"South Parade, Chelsea"
22183,51.534474,-0.122203,"Crinan Street, King's Cross"
22158,51.496468,-0.173796,"Exhibition Road Museums 1, South Kensington"
22169,51.524564,-0.116279,"Wren Street, Holborn"
22170,51.488852,-0.105593,"Kennington Station, Kennington"
22171,51.51824,-0.11655,"Red Lion Street, Holborn"
200056,51.488124,-0.120903,"Vauxhall Walk, Vauxhall"
200053,51.5338,-0.118677,"Killick Street, King's Cross"
200032,51.483145,-0.113134,"Kennington Oval, Oval"
200039,51.495656,-0.114605,"Sail Street, Vauxhall"
